[DEBUG] 2020-02-17 12:56:10.622 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-17 12:56:10.624 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-17 12:56:10.628 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-17 12:56:10.727 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-17 12:56:10.729 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-17 12:56:10.949 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-17 12:56:11.291 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-17 12:56:11.316 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-17 12:56:11.318 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[DEBUG] 2020-02-17 12:56:11.392 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@1d540566
[DEBUG] 2020-02-17 12:56:11.393 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@28c86134
[DEBUG] 2020-02-17 12:56:11.393 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@28c86134
[DEBUG] 2020-02-17 12:56:11.394 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@5c1f6d57
[DEBUG] 2020-02-17 12:56:11.394 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@5cb5bb88
[DEBUG] 2020-02-17 12:56:11.395 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@3a01773b
[DEBUG] 2020-02-17 12:56:11.395 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@3a01773b
[DEBUG] 2020-02-17 12:56:11.395 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@472698d
[DEBUG] 2020-02-17 12:56:11.396 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@472698d
[DEBUG] 2020-02-17 12:56:11.402 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@288214b1
[DEBUG] 2020-02-17 12:56:11.403 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@288214b1
[DEBUG] 2020-02-17 12:56:11.405 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@58cf8f94
[DEBUG] 2020-02-17 12:56:11.405 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@58cf8f94
[DEBUG] 2020-02-17 12:56:11.405 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@fabb651
[DEBUG] 2020-02-17 12:56:11.406 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@fabb651
[DEBUG] 2020-02-17 12:56:11.406 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@3872bc37
[DEBUG] 2020-02-17 12:56:11.406 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@3872bc37
[DEBUG] 2020-02-17 12:56:11.408 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6c518474
[DEBUG] 2020-02-17 12:56:11.408 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6c518474
[DEBUG] 2020-02-17 12:56:11.409 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@9e2ad91
[DEBUG] 2020-02-17 12:56:11.409 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@9e2ad91
[DEBUG] 2020-02-17 12:56:11.410 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@74dbb1ee
[DEBUG] 2020-02-17 12:56:11.411 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@74dbb1ee
[DEBUG] 2020-02-17 12:56:11.412 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@4867ab9f
[DEBUG] 2020-02-17 12:56:11.412 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@4867ab9f
[DEBUG] 2020-02-17 12:56:11.414 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@38fc5554
[DEBUG] 2020-02-17 12:56:11.414 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@38fc5554
[DEBUG] 2020-02-17 12:56:11.416 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@222afc67
[DEBUG] 2020-02-17 12:56:11.417 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@222afc67
[DEBUG] 2020-02-17 12:56:11.417 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@222afc67
[DEBUG] 2020-02-17 12:56:11.418 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@149debbb
[DEBUG] 2020-02-17 12:56:11.419 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@43b40233
[DEBUG] 2020-02-17 12:56:11.419 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@43b40233
[DEBUG] 2020-02-17 12:56:11.419 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@43b40233
[DEBUG] 2020-02-17 12:56:11.419 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@7d199c68
[DEBUG] 2020-02-17 12:56:11.421 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@5633dafd
[DEBUG] 2020-02-17 12:56:11.421 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@5633dafd
[DEBUG] 2020-02-17 12:56:11.422 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@408e96d9
[DEBUG] 2020-02-17 12:56:11.422 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@408e96d9
[DEBUG] 2020-02-17 12:56:11.423 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@71ad3d8a
[DEBUG] 2020-02-17 12:56:11.423 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@71ad3d8a
[DEBUG] 2020-02-17 12:56:11.424 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@3724b43e
[DEBUG] 2020-02-17 12:56:11.424 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@3724b43e
[DEBUG] 2020-02-17 12:56:11.425 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@81b5db0
[DEBUG] 2020-02-17 12:56:11.426 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@81b5db0
[DEBUG] 2020-02-17 12:56:11.426 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@4b3fe06e
[DEBUG] 2020-02-17 12:56:11.427 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@6778aea6
[DEBUG] 2020-02-17 12:56:11.427 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@6778aea6
[DEBUG] 2020-02-17 12:56:11.427 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@6778aea6
[DEBUG] 2020-02-17 12:56:11.432 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@332820f4
[DEBUG] 2020-02-17 12:56:11.432 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@332820f4
[DEBUG] 2020-02-17 12:56:11.432 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@332820f4
[DEBUG] 2020-02-17 12:56:11.432 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@84487f4
[DEBUG] 2020-02-17 12:56:11.433 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@1290c49
[DEBUG] 2020-02-17 12:56:11.433 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@6ba7383d
[DEBUG] 2020-02-17 12:56:11.433 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@6ba7383d
[DEBUG] 2020-02-17 12:56:11.434 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@6ba7383d
[DEBUG] 2020-02-17 12:56:11.434 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@1b9776f5
[DEBUG] 2020-02-17 12:56:11.434 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@1b9776f5
[DEBUG] 2020-02-17 12:56:11.435 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@1b9776f5
[DEBUG] 2020-02-17 12:56:11.435 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@1dd7796b
[DEBUG] 2020-02-17 12:56:11.435 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@702b06fb
[DEBUG] 2020-02-17 12:56:11.436 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@10f19647
[DEBUG] 2020-02-17 12:56:11.436 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@10f19647
[DEBUG] 2020-02-17 12:56:11.436 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@12d1f1d4
[DEBUG] 2020-02-17 12:56:11.437 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@59d77850
[DEBUG] 2020-02-17 12:56:11.437 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@59d77850
[DEBUG] 2020-02-17 12:56:11.438 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@8a2a6a
[DEBUG] 2020-02-17 12:56:11.438 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@8a2a6a
[DEBUG] 2020-02-17 12:56:11.439 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@481e91b6
[DEBUG] 2020-02-17 12:56:11.439 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@10bea4
[DEBUG] 2020-02-17 12:56:11.440 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@65c86db8
[DEBUG] 2020-02-17 12:56:11.443 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@6c15e8c7
[DEBUG] 2020-02-17 12:56:11.443 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@6c15e8c7
[DEBUG] 2020-02-17 12:56:11.443 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@282ffbf5
[DEBUG] 2020-02-17 12:56:11.443 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@3e104d4b
[DEBUG] 2020-02-17 12:56:11.443 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@55e2fe3c
[DEBUG] 2020-02-17 12:56:11.443 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@45e1aa48
[DEBUG] 2020-02-17 12:56:11.443 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@12c60152
[DEBUG] 2020-02-17 12:56:11.443 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@2e807c54
[DEBUG] 2020-02-17 12:56:11.443 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@6cd164a6
[DEBUG] 2020-02-17 12:56:11.444 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@242a209e
[DEBUG] 2020-02-17 12:56:11.467 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2020-02-17 12:56:11.468 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 2020-02-17 12:56:11.468 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2020-02-17 12:56:11.469 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2020-02-17 12:56:11.469 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 2020-02-17 12:56:11.471 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[DEBUG] 2020-02-17 12:56:11.472 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 2020-02-17 12:56:11.473 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2020-02-17 12:56:11.474 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 2020-02-17 12:56:11.474 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 2020-02-17 12:56:11.475 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 2020-02-17 12:56:11.475 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 2020-02-17 12:56:11.475 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2020-02-17 12:56:11.476 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[INFO ] 2020-02-17 12:56:11.479 [main] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.cj.jdbc.Driver at URL: jdbc:mysql://localhost:3306/BookshelfBansheeTest
[INFO ] 2020-02-17 12:56:11.480 [main] C3P0ConnectionProvider - HHH10001001: Connection properties: {password=****, user=root}
[INFO ] 2020-02-17 12:56:11.480 [main] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2020-02-17 12:56:11.754 [main] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[DEBUG] 2020-02-17 12:56:11.966 [main] JdbcEnvironmentInitiator - Database ->
       name : MySQL
    version : 8.0.16
      major : 8
      minor : 0
[DEBUG] 2020-02-17 12:56:11.971 [main] JdbcEnvironmentInitiator - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.16 (Revision: 34cbc6bc61f72836e26327537a432d6db7c77de6)
      major : 8
      minor : 0
[DEBUG] 2020-02-17 12:56:11.971 [main] JdbcEnvironmentInitiator - JDBC version : 4.2
[INFO ] 2020-02-17 12:56:12.007 [main] Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
[DEBUG] 2020-02-17 12:56:12.025 [main] IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in more than one case
[DEBUG] 2020-02-17 12:56:12.046 [main] IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
[DEBUG] 2020-02-17 12:56:12.077 [main] Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
[DEBUG] 2020-02-17 12:56:12.079 [main] TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@28f9fedd] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@17947e6d]
[DEBUG] 2020-02-17 12:56:12.109 [main] AnnotationMetadataSourceProcessorImpl - Encountered a non-categorized annotated class [com.bookshelfBanshee.entity.Role]; ignoring
[DEBUG] 2020-02-17 12:56:12.127 [main] AnnotationBinder - Binding entity from annotated class: com.bookshelfBanshee.entity.User
[DEBUG] 2020-02-17 12:56:12.146 [main] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2020-02-17 12:56:12.150 [main] EntityBinder - Import with entity name User
[DEBUG] 2020-02-17 12:56:12.153 [main] EntityBinder - Bind entity com.bookshelfBanshee.entity.User on table user
[DEBUG] 2020-02-17 12:56:12.172 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=id, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-02-17 12:56:12.181 [main] PropertyBinder - MetadataSourceProcessor property id with lazy=false
[DEBUG] 2020-02-17 12:56:12.183 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.bookshelfBanshee.entity.User:id]
[DEBUG] 2020-02-17 12:56:12.184 [main] SimpleValueBinder - building SimpleValue for id
[DEBUG] 2020-02-17 12:56:12.186 [main] PropertyBinder - Building property id
[DEBUG] 2020-02-17 12:56:12.190 [main] BinderHelper - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, org.hibernate.id.enhanced.SequenceStyleGenerator, native, ...)
[DEBUG] 2020-02-17 12:56:12.192 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=password, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-02-17 12:56:12.192 [main] PropertyBinder - MetadataSourceProcessor property password with lazy=false
[DEBUG] 2020-02-17 12:56:12.192 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.bookshelfBanshee.entity.User:password]
[DEBUG] 2020-02-17 12:56:12.193 [main] SimpleValueBinder - building SimpleValue for password
[DEBUG] 2020-02-17 12:56:12.193 [main] PropertyBinder - Building property password
[DEBUG] 2020-02-17 12:56:12.194 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=username, insertable=true, updatable=true, unique=false}
[DEBUG] 2020-02-17 12:56:12.194 [main] PropertyBinder - MetadataSourceProcessor property username with lazy=false
[DEBUG] 2020-02-17 12:56:12.194 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.bookshelfBanshee.entity.User:username]
[DEBUG] 2020-02-17 12:56:12.194 [main] SimpleValueBinder - building SimpleValue for username
[DEBUG] 2020-02-17 12:56:12.194 [main] PropertyBinder - Building property username
[DEBUG] 2020-02-17 12:56:12.197 [main] SimpleValueBinder - Starting fillSimpleValue for id
[DEBUG] 2020-02-17 12:56:12.197 [main] SimpleValueBinder - Starting fillSimpleValue for password
[DEBUG] 2020-02-17 12:56:12.197 [main] SimpleValueBinder - Starting fillSimpleValue for username
[DEBUG] 2020-02-17 12:56:12.199 [main] PrimaryKey - Forcing column [id] to be non-null as it is part of the primary key for table [user]
[DEBUG] 2020-02-17 12:56:12.224 [main] SessionFactoryImpl - Building session factory
[DEBUG] 2020-02-17 12:56:12.226 [main] Settings - SessionFactory name : null
[DEBUG] 2020-02-17 12:56:12.227 [main] Settings - Automatic flush during beforeCompletion(): enabled
[DEBUG] 2020-02-17 12:56:12.227 [main] Settings - Automatic session close at end of transaction: disabled
[DEBUG] 2020-02-17 12:56:12.229 [main] Settings - Statistics: disabled
[DEBUG] 2020-02-17 12:56:12.229 [main] Settings - Deleted entity synthetic identifier rollback: disabled
[DEBUG] 2020-02-17 12:56:12.232 [main] Settings - Default entity-mode: pojo
[DEBUG] 2020-02-17 12:56:12.232 [main] Settings - Check Nullability in Core (should be disabled when Bean Validation is on): enabled
[DEBUG] 2020-02-17 12:56:12.232 [main] Settings - Allow initialization of lazy state outside session : disabled
[DEBUG] 2020-02-17 12:56:12.233 [main] Settings - Using BatchFetchStyle : LEGACY
[DEBUG] 2020-02-17 12:56:12.233 [main] Settings - Default batch fetch size: -1
[DEBUG] 2020-02-17 12:56:12.233 [main] Settings - Maximum outer join fetch depth: 2
[DEBUG] 2020-02-17 12:56:12.233 [main] Settings - Default null ordering: NONE
[DEBUG] 2020-02-17 12:56:12.233 [main] Settings - Order SQL updates by primary key: disabled
[DEBUG] 2020-02-17 12:56:12.233 [main] Settings - Order SQL inserts for batching: disabled
[DEBUG] 2020-02-17 12:56:12.233 [main] Settings - multi-tenancy strategy : NONE
[DEBUG] 2020-02-17 12:56:12.233 [main] Settings - JTA Track by Thread: enabled
[DEBUG] 2020-02-17 12:56:12.233 [main] Settings - Query language substitutions: {}
